Designator,Mid X,Mid Y,Rotation,Layer
C1,159.75,-94.0,45.0,bottom
C10,149.25,-93.25,0.0,bottom
C11,136.75,-91.0,270.0,bottom
C12,138.25,-91.0,270.0,bottom
C13,143.5,-91.25,270.0,bottom
C14,150.75,-87.25,0.0,bottom
C16,145.25,-96.25,0.0,top
C17,145.25,-98.5,0.0,top
C18,143.75,-101.25,270.0,top
C19,133.0,-100.25,270.0,top
C2,134.0,-100.5,180.0,bottom
C20,134.5,-101.25,270.0,top
C21,134.5,-97.25,270.0,top
C22,145.0,-104.25,0.0,top
C23,145.0,-106.5,0.0,top
C24,145.0,-108.75,0.0,top
C25,164.75,-83.75,180.0,top
C26,138.25,-116.0,0.0,bottom
C27,150.25,-114.75,90.0,bottom
C29,150.75,-85.75,0.0,bottom
C3,156.75,-94.0,135.0,bottom
C30,153.75,-91.0,135.0,bottom
C31,157.25,-86.25,225.0,bottom
C32,160.75,-88.0,315.0,bottom
C33,155.75,-93.0,135.0,bottom
C34,154.75,-89.0,225.0,bottom
C35,165.5,-86.0,270.0,top
C36,162.0,-84.5,180.0,bottom
C37,158.25,-85.25,225.0,bottom
C38,158.75,-95.0,45.0,bottom
C39,162.75,-91.0,45.0,bottom
C4,134.0,-98.25,180.0,bottom
C40,161.75,-92.0,45.0,bottom
C41,161.75,-89.0,315.0,bottom
C42,150.5,-73.25,270.0,bottom
C43,148.25,-73.25,270.0,bottom
C44,152.5,-80.75,90.0,bottom
C45,155.5,-80.75,90.0,bottom
C46,158.5,-80.75,90.0,bottom
C47,161.5,-80.75,90.0,bottom
C48,136.5,-80.75,90.0,bottom
C49,139.5,-80.75,90.0,bottom
C5,134.0,-92.75,0.0,bottom
C50,142.5,-80.75,90.0,bottom
C51,145.5,-80.75,90.0,bottom
C52,150.25,-106.75,90.0,bottom
C53,163.25,-106.75,270.0,bottom
C54,161.25,-100.25,90.0,bottom
C55,158.25,-100.25,90.0,bottom
C56,155.25,-100.25,90.0,bottom
C57,152.25,-100.25,90.0,bottom
C58,138.25,-88.0,90.0,bottom
C59,136.75,-88.0,90.0,bottom
C6,146.25,-87.25,0.0,bottom
C7,149.25,-90.25,0.0,bottom
C8,149.25,-91.74,0.0,bottom
C9,139.5,-95.0,0.0,bottom
D1,130.25,-104.0,0.0,top
D10,130.25,-116.0,90.0,top
D11,147.25,-91.5,90.0,top
D2,138.25,-108.75,0.0,bottom
D3,171.25,-64.0,270.0,top
D4,169.75,-64.0,270.0,top
D5,130.25,-64.0,270.0,top
D6,128.75,-64.0,270.0,top
D7,169.75,-116.0,90.0,top
D8,171.25,-116.0,90.0,top
D9,128.75,-116.0,90.0,top
F1,144.25,-92.75,270.0,top
FB1,161.75,-94.0,45.0,bottom
FB2,150.75,-88.75,180.0,bottom
J1,159.5,-64.0,0.0,top
J2,140.5,-64.0,0.0,top
J3,140.5,-116.0,180.0,top
J4,159.5,-116.0,180.0,top
J5,135.0,-90.0,90.0,top
L1,147.5,-96.5,180.0,bottom
L2,133.0,-89.5,180.0,bottom
L3,138.0,-106.5,0.0,top
R1,146.25,-85.75,0.0,bottom
R10,169.75,-90.75,0.0,top
R11,130.25,-102.5,0.0,top
R12,169.75,-95.25,0.0,top
R13,169.75,-93.75,0.0,top
R14,162.0,-83.0,0.0,bottom
R15,167.5,-99.75,90.0,bottom
R16,169.75,-92.25,0.0,top
R17,166.0,-99.75,90.0,bottom
R18,169.0,-99.75,90.0,bottom
R19,170.5,-99.75,90.0,bottom
R2,146.25,-88.75,180.0,bottom
R20,170.5,-80.0,270.0,bottom
R21,169.0,-80.0,270.0,bottom
R22,170.5,-80.0,270.0,top
R23,169.0,-80.0,270.0,top
R24,169.0,-77.0,90.0,top
R25,170.5,-77.0,90.0,top
R26,170.5,-77.0,90.0,bottom
R27,169.0,-77.0,90.0,bottom
R28,169.0,-102.75,270.0,bottom
R29,170.5,-102.75,270.0,bottom
R3,139.5,-96.5,0.0,bottom
R30,167.5,-102.75,270.0,bottom
R31,166.0,-102.75,270.0,bottom
R32,152.5,-71.0,270.0,bottom
R33,155.5,-71.0,270.0,bottom
R34,158.5,-71.0,270.0,bottom
R35,161.5,-71.0,270.0,bottom
R36,136.5,-71.0,270.0,bottom
R37,139.5,-71.0,270.0,bottom
R38,142.5,-71.0,270.0,bottom
R39,145.5,-71.0,270.0,bottom
R4,137.25,-95.75,90.0,bottom
R40,155.25,-109.25,90.0,bottom
R41,152.25,-109.25,90.0,bottom
R42,158.25,-109.25,90.0,bottom
R43,161.25,-109.25,90.0,bottom
R6,133.0,-97.25,270.0,top
R7,136.75,-96.5,0.0,top
R8,153.75,-96.75,135.0,top
R9,169.75,-89.25,0.0,top
TR1,158.0,-75.5,90.0,top
TR2,142.0,-75.5,90.0,top
TR3,155.75,-104.75,270.0,top
U1,158.25,-90.5,45.0,top
U2,146.0,-91.75,270.0,bottom
U3,134.0,-95.25,180.0,bottom
U4,138.975,-100.0,180.0,top
Y2,167.75,-85.0,270.0,top
